id,parent_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,light_interception__sunlit_fraction_col,environment_id
0,NA,NA,NaT,NA,NA,0,1.107,1,3,mean
1,0,1,NaT,NA,NA,0,1.107,1,3,mean
2,1,0,NaT,NA,NA,0,0.630,4,3,mean
3,2,1,NaT,NA,NA,0,NA,5,3,mean
4,3,0,NaT,NA,NA,7,0.396,8,3,F14_14
5,1,0,NaT,NA,NA,1,1.014,4,3,F14_14
6,5,1,NaT,NA,NA,0,NA,6,3,F14_14
7,6,1,NaT,NA,NA,5,NA,6,3,F14_14
8,7,0,2002-09-11,1,1,9,0.605,12,3,F14_14
9,7,0,NaT,NA,NA,10,0.458,9,3,F14_14
10,7,0,NaT,NA,NA,14,0.724,14,3,F14_14
