id,parent_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,light_interception__sunlit_fraction_col,environment_id
0,NA,NA,NaT,NA,NA,0,1.524,1,3,mean
1,0,1,NaT,NA,NA,0,1.524,5,3,F14_12B
2,1,1,NaT,NA,NA,7,NA,17,3,F14_12B
3,2,1,NaT,NA,NA,13,NA,12,3,F14_12B
4,3,1,2002-09-11,1,1,17,NA,21,3,F14_12B
5,3,0,NaT,NA,NA,10,0.546,16,3,F14_12B
6,3,0,NaT,NA,NA,5,0.509,10,3,F14_12B
7,2,0,NaT,NA,NA,11,0.730,17,3,F14_12B
8,1,0,NaT,NA,NA,1,0.782,10,3,F14_12A
9,8,1,NaT,NA,NA,7,NA,5,3,F14_12A
10,9,1,NaT,NA,NA,13,NA,15,3,F14_12A
