id,parent_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,light_interception__sunlit_fraction_col,environment_id
0,NA,NA,NaT,NA,NA,0,1.746,1,3,mean
1,0,1,NaT,NA,NA,0,1.746,NA,3,mean
2,1,0,NaT,NA,NA,0,1.277,9,3,mean
3,2,1,NaT,NA,NA,0,NA,8,3,mean
4,3,1,NaT,NA,NA,1,NA,8,3,F14_26E
5,4,0,NaT,NA,NA,7,0.368,7,3,F14_26E
6,4,0,NaT,NA,NA,0,0.569,2,3,F14_26E
7,6,1,NaT,NA,NA,9,NA,12,3,F14_26D
8,4,0,NaT,NA,NA,0,0.743,3,3,F14_26D
9,8,1,NaT,NA,NA,16,NA,14,3,F14_26D
10,1,0,NaT,NA,NA,0,0.710,7,3,mean
11,10,0,NaT,NA,NA,4,0.398,3,3,F14_26C
12,11,1,NaT,NA,NA,7,NA,10,3,F14_26C
13,10,0,NaT,NA,NA,0,0.565,6,3,mean
14,13,1,NaT,NA,NA,0,NA,3,3,mean
15,14,0,NaT,NA,NA,9,0.381,7,3,F14_26C
16,14,0,NaT,NA,NA,6,0.379,6,3,F14_26C
17,1,0,NaT,NA,NA,0,1.50,11,3,mean
18,17,1,NaT,NA,NA,0,NA,10,3,mean
19,18,1,NaT,NA,NA,0,NA,10,3,mean
20,19,0,NaT,NA,NA,5,0.471,10,3,F14_26A
21,19,0,NaT,NA,NA,10,0.686,13,3,F14_26A
22,19,0,NaT,NA,NA,7,0.411,10,3,F14_26A
23,19,0,2002-09-12,1,1,7,0.668,10,3,F14_26A
24,19,0,NaT,NA,NA,9,0.607,14,3,F14_26A
25,17,0,NaT,NA,NA,0,0.908,8,3,mean
26,25,1,NaT,NA,NA,0,NA,10,3,F14_26B
27,26,0,NaT,NA,NA,9,0.555,9,3,F14_26B
28,26,0,NaT,NA,NA,4,0.309,6,3,F14_26B
