id,parent_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,light_interception__sunlit_fraction_col,environment_id
0,NA,NA,NaT,NA,NA,0,1.406,1,3,mean
1,0,1,NaT,NA,NA,0,1.406,12,3,mean
2,1,0,NaT,NA,NA,0,0.921,8,3,F14_08A
3,2,1,NaT,NA,NA,2,0.815,8,3,F14_08A
4,3,1,NaT,NA,NA,4,0.71,8,3,F14_08A
5,4,1,2002-09-17,1,1,9,0.606,12,3,F14_08A
6,1,0,NaT,NA,NA,0,0.667,6,3,F14_08B
7,6,1,NaT,NA,NA,0,0.564,6,3,F14_08B
8,7,1,NaT,NA,NA,9,0.462,7,3,F14_08B
9,8,1,NaT,NA,NA,0,0.362,7,3,F14_08B
10,1,0,NaT,NA,NA,0,1.161,9,3,F14_08C
11,10,1,NaT,NA,NA,0,1.052,5,3,F14_08C
12,11,1,NaT,NA,NA,4,0.943,13,3,F14_08C
13,12,0,NaT,NA,NA,3,0.578,6,3,F14_08C
14,13,0,NaT,NA,NA,7,0.457,10,3,F14_08C
15,12,0,NaT,NA,NA,5,0.893,7,3,F14_08C
16,15,0,NaT,NA,NA,5,0.535,9,3,F14_08C
17,15,0,NaT,NA,NA,6,0.571,10,3,F14_08C
18,12,0,NaT,NA,NA,2,0.711,7,3,F14_08C
19,18,0,NaT,NA,NA,5,0.544,9,3,F14_08C
20,18,0,NaT,NA,NA,5,0.467,10,3,F14_08C
