id,parent_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,light_interception__sunlit_fraction_col,environment_id
0,NA,NA,NaT,NA,NA,0,1.506,1,3,mean
1,0,1,NaT,NA,NA,0,NA,15,3,mean
2,1,1,NaT,NA,NA,0,NA,15,3,mean
3,2,0,NaT,NA,NA,6,0.565,6,3,F14_30A
4,3,1,NaT,NA,NA,7,NA,10,3,F14_30A
5,2,0,NaT,NA,NA,6,0.741,8,3,F14_30A
6,5,1,NaT,NA,NA,7,NA,11,3,F14_30A
7,2,0,NaT,NA,NA,1,1.118,6,3,F14_30A
8,7,1,NaT,NA,NA,11,NA,10,3,F14_30A
9,8,1,2002-09-11,1,1,10,NA,14,3,F14_30A
10,7,0,NaT,NA,NA,7,0.748,6,3,F14_30A
11,10,1,NaT,NA,NA,7,NA,10,3,F14_30A
12,2,0,NaT,NA,NA,4,0.361,4,3,F14_30A
13,1,0,NaT,NA,NA,0,0.487,11,3,F14_30A
14,13,0,NaT,NA,NA,7,0.326,5,3,F14_30A
15,1,0,NaT,NA,NA,2,0.373,7,3,F14_30A
16,1,0,NaT,NA,NA,0,0.955,16,3,F14_30B
17,16,0,NaT,NA,NA,8,0.802,8,3,F14_30B
18,17,1,NaT,NA,NA,7,NA,12,3,F14_30B
19,16,0,NaT,NA,NA,11,0.552,11,3,F14_30B
20,16,0,NaT,NA,NA,3,0.284,6,3,F14_30B
