id,parent_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,light_interception__sunlit_fraction_col,environment_id
0,NA,NA,NaT,NA,NA,0,1.109,1,3,mean
1,0,1,NaT,NA,NA,0,1.109,8,3,mean
2,1,0,NaT,NA,NA,2,0.759,13,3,F14_05A
3,2,1,NaT,NA,NA,12,0.655,12,3,F14_05A
4,3,1,2002-09-10,1,1,7,0.552,6,3,F14_05A
5,1,0,NaT,NA,NA,2,0.557,8,3,F14_05B
6,5,1,NaT,NA,NA,6,0.455,7,3,F14_05B
7,6,1,NaT,NA,NA,8,0.355,5,3,F14_05B
8,1,0,NaT,NA,NA,2,0.947,10,3,F14_05C
9,8,0,NaT,NA,NA,2,0.473,6,3,F14_05C
10,9,1,NaT,NA,NA,9,0.372,6,3,F14_05C
11,8,0,NaT,NA,NA,3,0.817,9,3,F14_05C
12,11,1,NaT,NA,NA,7,0.712,9,3,F14_05C
13,12,0,NaT,NA,NA,6,0.534,8,3,F14_05C
14,12,0,NaT,NA,NA,7,0.475,9,3,F14_05C
15,12,0,NaT,NA,NA,4,0.328,7,3,F14_05C
