id,type,parent_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,environment_id,light_interception__sunlit_fraction_col
992,GU,991,1,NAT,NA,NA,2,NA,7,G3_31A,3
993,GU,992,0,NAT,NA,NA,13,NA,22,G3_31A,3
994,GU,993,1,2020-09-12,1,1,14,0.406,19,G3_31A,3
995,GU,992,0,2020-09-12,1,1,7,0.3385,16,G3_31A,3
996,GU,992,0,NAT,NA,NA,9,0.2875,17,G3_31A,3
997,GU,992,0,NAT,NA,NA,10,NA,17,G3_31A,3
998,GU,997,1,NAT,NA,NA,12,0.3475,18,G3_31A,3
999,GU,992,0,NAT,NA,NA,8,0.242,18,G3_31A,3
1000,GU,977,0,NAT,NA,NA,0,NA,9,NA,3
1001,GU,1000,1,NAT,NA,NA,2,NA,6,G3_29C,3
1002,GU,1001,1,NAT,NA,NA,3,0.1615,5,G3_29C,3
1003,GU,977,0,NAT,NA,NA,0,NA,7,NA,3
1004,GU,1003,1,NAT,NA,NA,6,NA,9,G3_29B,3
1005,GU,1004,1,NAT,NA,NA,11,NA,13,G3_29B,3
1006,GU,1005,1,NAT,NA,NA,14,NA,20,G3_29A,3
1007,GU,1006,0,2020-09-12,2,2,6,0.3155,12,G3_29A,3
1008,GU,1006,0,NAT,NA,NA,16,0.365,17,G3_29A,3
1009,GU,1006,0,NAT,NA,NA,1,0.1855,11,G3_29A,3
1010,GU,976,0,NAT,NA,NA,0,NA,8,NA,3
1011,GU,1010,0,NAT,NA,NA,1,NA,10,G3_29E,3
1012,GU,1011,1,NAT,NA,NA,0,NA,3,NA,3
1013,GU,1012,1,NAT,NA,NA,9,NA,5,G3_29E,3
1014,GU,1013,1,NAT,NA,NA,6,0.19,7,G3_29E,3
1015,GU,1010,0,NAT,NA,NA,0,NA,9,NA,3
1016,GU,1015,1,NAT,NA,NA,6,NA,5,G3_29E,3
1017,GU,1016,1,NAT,NA,NA,14,NA,9,G3_29E,3
1018,GU,1017,1,NAT,NA,NA,11,0.307,13,G3_29E,3
1019,GU,945,0,NAT,NA,NA,0,NA,2,NA,3
1020,GU,1019,1,NAT,NA,NA,0,NA,10,NA,3
1021,GU,1020,1,NAT,NA,NA,0,NA,10,NA,3
1022,GU,1021,0,NAT,NA,NA,5,0.186,5,G3_30B,3
1023,GU,1021,0,NAT,NA,NA,0,NA,7,NA,3
1024,GU,1023,1,NAT,NA,NA,4,0.161,6,G3_30B,3
1025,GU,1021,0,NAT,NA,NA,4,NA,8,G3_30B,3
1026,GU,1025,0,NAT,NA,NA,4,0.1685,6,G3_30B,3
1027,GU,945,0,NAT,NA,NA,0,NA,4,NA,3
1028,GU,1027,1,NAT,NA,NA,0,NA,17,NA,3
1029,GU,1028,0,NAT,NA,NA,0,NA,12,NA,3
1030,GU,1029,1,NAT,NA,NA,0,NA,10,NA,3
1031,GU,1030,1,NAT,NA,NA,4,NA,7,G3_30A,3
1032,GU,1031,0,2020-09-12,1,1,7,0.283,12,G3_30A,3
1033,GU,1031,0,2020-09-12,1,1,2,0.2615,7,G3_30A,3
1034,GU,1031,0,NAT,NA,NA,10,NA,6,G3_30A,3
1035,GU,1034,1,NAT,NA,NA,11,0.306,15,G3_30A,3
1036,GU,1029,0,NAT,NA,NA,0,NA,12,NA,3
1037,GU,1036,1,NAT,NA,NA,1,0.163,4,G3_30A,3
1038,GU,1029,0,NAT,NA,NA,1,NA,12,G3_30A,3
1039,GU,1038,0,NAT,NA,NA,1,0.1545,5,G3_30A,3
1040,GU,1038,0,NAT,NA,NA,6,0.194,7,G3_30A,3
1041,GU,1028,0,NAT,NA,NA,0,NA,7,NA,3
1042,GU,1041,0,NAT,NA,NA,0,NA,4,NA,3
1043,GU,1042,1,NAT,NA,NA,1,NA,9,G3_32C,3
1044,GU,1043,1,NAT,NA,NA,2,NA,7,G3_32C,3
1045,GU,1044,1,NAT,NA,NA,5,0.199,5,G3_32C,3
1046,GU,1028,0,NAT,NA,NA,0,NA,9,NA,3
1047,GU,1046,0,NAT,NA,NA,1,NA,9,G3_32B,3
1048,GU,1047,1,NAT,NA,NA,3,0.695,9,G3_32B,3
1049,GU,1046,0,NAT,NA,NA,0,NA,10,NA,3
1050,GU,1049,1,NAT,NA,NA,4,NA,10,G3_32B,3
1051,GU,1050,1,NAT,NA,NA,14,NA,20,G3_32A,3
1052,GU,1051,1,NAT,NA,NA,9,0.346,15,G3_32A,3
1053,GU,1050,0,2020-09-12,2,2,11,0.3805,15,G3_32A,3
1054,GU,1050,0,NAT,NA,NA,5,0.2115,14,G3_32A,3
1055,GU,1050,0,NAT,NA,NA,4,0.1515,7,G3_32A,3
1056,GU,1050,0,NAT,NA,NA,4,0.2335,11,G3_32A,3
1057,GU,1050,0,NAT,NA,NA,13,0.3375,15,G3_32A,3
1058,GU,1050,0,NAT,NA,NA,14,0.2265,12,G3_32A,3
1059,GU,727,1,NAT,NA,NA,0,2.95,22,NA,3
1060,GU,1059,1,NAT,NA,NA,0,2.65,5,NA,3
1061,GU,1060,0,NAT,NA,NA,0,2.327,20,NA,3
