id,type,parent_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,environment_id,light_interception__sunlit_fraction_col
144,GU,143,0,NAT,NA,NA,2,NA,5,G3_01E,3
145,GU,144,1,NAT,NA,NA,5,0.1715,4,G3_01E,3
146,GU,110,0,NAT,NA,NA,0,NA,12,NA,3
147,GU,146,1,NAT,NA,NA,1,NA,16,G3_01D,3
148,GU,147,0,NAT,NA,NA,4,0.149,6,G3_01D,3
149,GU,147,0,NAT,NA,NA,0,NA,4,NA,3
150,GU,149,1,NAT,NA,NA,10,NA,8,G3_01D,3
151,GU,150,1,NAT,NA,NA,8,0.221,4,G3_01D,3
152,GU,110,0,NAT,NA,NA,0,0.7375,15,NA,3
153,GU,152,0,NAT,NA,NA,0,NA,14,NA,3
154,GU,153,1,NAT,NA,NA,4,NA,7,G3_01I,3
155,GU,154,1,NAT,NA,NA,7,0.189,4,G3_01I,3
156,GU,152,0,NAT,NA,NA,0,NA,15,NA,3
157,GU,156,1,NAT,NA,NA,0,NA,3,NA,3
