id,parent_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,light_interception__sunlit_fraction_col,environment_id
0,NA,NA,NaT,NA,NA,0,1.681,1,3,mean
1,0,1,NaT,NA,NA,0,1.681,11,3,mean
2,1,1,NaT,NA,NA,0,NA,5,3,mean
3,2,1,NaT,NA,NA,4,NA,10,3,F14_21A
4,3,1,2002-09-11,1,1,10,NA,24,3,F14_21A
5,3,0,NaT,NA,NA,10,0.949,20,3,F14_21A
6,3,0,NaT,NA,NA,13,0.604,18,3,F14_21A
7,3,0,NaT,NA,NA,4,0.439,15,3,F14_21A
8,1,0,NaT,NA,NA,1,0.833,4,3,F14_21B
9,8,1,NaT,NA,NA,1,NA,4,3,F14_21B
10,9,1,NaT,NA,NA,0,NA,3,3,F14_21B
11,10,1,NaT,NA,NA,12,NA,14,3,F14_21B
12,9,0,NaT,NA,NA,10,0.588,15,3,F14_21B
13,8,0,NaT,NA,NA,0,0.476,4,3,F14_21B
14,13,1,NaT,NA,NA,12,NA,14,3,F14_21B
