id,type,parent_id,scaffold_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,id_fruit,fruit_fresh_mass,fruit_dry_mass,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,environment_id,light_interception__sunlit_fraction_col
1073,branch,1070,558,0,2020-09-12,2,2,35c.35d,NA,NA,212,1.2765,20,NA,3
1074,GU,1067,558,0,NAT,NA,NA,,NA,NA,0,0.9135,16,NA,3
1075,GU,1074,558,1,NAT,NA,NA,,NA,NA,0,0.681223103029801,7,NA,3
1076,GU,1075,558,1,NAT,NA,NA,,NA,NA,3,0.637257251232036,15,G3_35B,3
1077,GU,1076,558,1,NAT,NA,NA,,NA,NA,6,0.593378966062577,14,G3_35B,3
1078,GU,1077,558,1,NAT,NA,NA,,NA,NA,12,0.570815482909626,11,G3_35B,3
1079,GU,1078,558,0,2020-09-12,1,1,35,NA,NA,5,0.23,10,G3_35B,3
1080,GU,1078,558,0,2020-09-12,1,1,35a,NA,NA,4,0.232,6,G3_35B,3
1081,GU,1078,558,0,NAT,NA,NA,,NA,NA,6,0.239,8,G3_35B,3
1082,GU,1078,558,0,NAT,NA,NA,,NA,NA,7,0.461035575432834,13,G3_35B,3
1083,GU,1082,558,0,NAT,NA,NA,,NA,NA,18,0.4145,20,G3_35A,3
1084,GU,1077,558,0,NAT,NA,NA,,NA,NA,7,0.241311256964703,9,G3_35B,3
1085,GU,1084,558,1,NAT,NA,NA,,NA,NA,4,0.1675,6,G3_35B,3
1086,GU,1077,558,0,NAT,NA,NA,,NA,NA,7,0.19,10,G3_35B,3
1087,GU,1064,558,1,NAT,NA,NA,,NA,NA,0,1.25383472958056,7,NA,3
1088,GU,1087,558,1,NAT,NA,NA,,NA,NA,0,1.19927074371615,6,NA,3
1089,GU,1088,558,1,NAT,NA,NA,,NA,NA,0,1.14610898678211,9,NA,3
1090,GU,1089,558,1,NAT,NA,NA,,NA,NA,0,1.09426698403698,9,NA,3
1091,GU,1090,558,1,NAT,NA,NA,,NA,NA,0,1.04366124891853,10,NA,3
1092,GU,1091,558,1,NAT,NA,NA,,NA,NA,0,0.658677944473149,7,NA,3
1093,GU,1092,558,0,NAT,NA,NA,,NA,NA,0,0.614782331716526,5,NA,3
1094,GU,1093,558,1,NAT,NA,NA,,NA,NA,0,0.570864451002366,5,NA,3
1095,GU,1094,558,1,NAT,NA,NA,,NA,NA,0,0.52487058935519,19,NA,3
1096,GU,1095,558,1,NAT,NA,NA,,NA,NA,4,0.480036979950231,4,G3_34A,3
1097,GU,1096,558,0,NAT,NA,NA,,NA,NA,9,0.335524900296066,10,G3_34A,3
1098,GU,1097,558,1,NAT,NA,NA,,NA,NA,11,0.2805,7,G3_34A,3
1099,GU,1096,558,0,NAT,NA,NA,,NA,NA,6,0.167,7,G3_34A,3
1100,GU,1096,558,0,NAT,NA,NA,,NA,NA,16,0.2775,14,G3_34A,3
1101,GU,1094,558,0,NAT,NA,NA,,NA,NA,2,0.2195,12,G3_34A,3
1102,GU,1091,558,0,NAT,NA,NA,,NA,NA,0,0.497050112276968,13,NA,3
1103,GU,1102,558,1,NAT,NA,NA,,NA,NA,0,0.451610685256586,8,NA,3
1104,GU,1103,558,1,NAT,NA,NA,,NA,NA,0,0.404719326272845,5,NA,3
1105,GU,1104,558,0,NAT,NA,NA,,NA,NA,6,0.1715,7,G3_34B,3
1106,GU,1104,558,0,NAT,NA,NA,,NA,NA,5,0.21,7,G3_34B,3
1107,GU,1104,558,0,NAT,NA,NA,,NA,NA,5,0.1815,6,G3_34B,3
1108,GU,1091,558,0,NAT,NA,NA,,NA,NA,0,0.585659689405633,12,NA,3
1109,GU,1108,558,1,NAT,NA,NA,,NA,NA,6,0.541590612528713,18,G3_34D,3
1110,GU,1109,558,1,NAT,NA,NA,,NA,NA,0,0.497036816769994,8,NA,3
1111,GU,1110,558,1,NAT,NA,NA,,NA,NA,11,0.451597054128488,12,G3_34C,3
1112,GU,1111,558,0,NAT,NA,NA,,NA,NA,9,0.197,9,G3_34C,3
1113,GU,1111,558,0,NAT,NA,NA,,NA,NA,11,0.374777800010999,12,G3_34C,3
1114,GU,1113,558,1,NAT,NA,NA,,NA,NA,10,0.3235,11,G3_34C,3
1115,GU,1091,558,0,NAT,NA,NA,,NA,NA,0,0.790125704786781,5,NA,3
1116,GU,1115,558,1,NAT,NA,NA,,NA,NA,0,0.765009538930255,9,NA,3
1117,GU,1116,558,1,NAT,NA,NA,,NA,NA,0,0.588693062970143,11,NA,3
1118,GU,1117,558,1,NAT,NA,NA,,NA,NA,NA,0.544645466309632,8,NA,3
1119,GU,1118,558,1,NAT,NA,NA,,NA,NA,0,0.500136620054372,4,NA,3
1120,GU,1119,558,1,NAT,NA,NA,,NA,NA,1,0.454773848204347,4,G3_34F,3
1121,GU,1120,558,1,NAT,NA,NA,,NA,NA,10,0.408005426064513,5,G3_34F,3
1122,GU,1121,558,1,2020-09-12,1,1,34.34a,NA,NA,10,0.359,9,G3_34F,3
1123,GU,1116,558,0,NAT,NA,NA,,NA,NA,0,0.433748571580619,8,NA,3
1124,GU,1123,558,1,NAT,NA,NA,,NA,NA,0,0.386091158249733,15,NA,3
1125,GU,1124,558,0,NAT,NA,NA,,NA,NA,2,0.145,5,G3_34F,3
1126,GU,1124,558,0,NAT,NA,NA,,NA,NA,6,0.141,7,G3_34F,3
1127,GU,1124,558,0,NAT,NA,NA,,NA,NA,9,0.2025,8,G3_34F,3
1128,GU,1116,558,0,NAT,NA,NA,,NA,NA,0,0.523329861796947,10,NA,3
1129,GU,1128,558,1,NAT,NA,NA,,NA,NA,0,0.478467462145321,13,NA,3
1130,GU,1129,558,1,NAT,NA,NA,,NA,NA,0,0.432511239203655,2,NA,3
1131,GU,1130,558,0,NAT,NA,NA,,NA,NA,0,0.209045370306746,4,NA,3
1132,GU,1131,558,1,NAT,NA,NA,,NA,NA,2,0.1205,3,G3_34E,3
1133,GU,1130,558,0,NAT,NA,NA,,NA,NA,0,0.339979816323554,7,NA,3
1134,GU,1133,558,0,NAT,NA,NA,,NA,NA,5,0.162,6,G3_34E,3
1135,GU,1133,558,0,NAT,NA,NA,,NA,NA,8,0.22,6,G3_34E,3
1136,GU,1115,558,0,NAT,NA,NA,,NA,NA,0,0.302973605551619,8,NA,3
1137,GU,1136,558,1,NAT,NA,NA,,NA,NA,2,0.243556299870656,13,G3_34D,3
1138,GU,1137,558,1,NAT,NA,NA,,NA,NA,6,0.1705,4,G3_34D,3
1139,scaffold,558,558,0,NAT,NA,NA,,NA,NA,0,2.705,20,NA,3
