id,type,parent_id,scaffold_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,environment_id,light_interception__sunlit_fraction_col
529,GU,526,449,0,NAT,NA,NA,7,0.2545,14,E16_17G,3
530,GU,453,449,0,NAT,NA,NA,0,1.3321626149608,14,NA,3
531,GU,530,449,1,NAT,NA,NA,0,1.14390232773403,14,NA,3
532,GU,531,449,1,NAT,NA,NA,0,1.18741955417488,14,NA,3
533,GU,532,449,0,NAT,NA,NA,0,1.24442832100781,12,NA,3
534,GU,533,449,1,NAT,NA,NA,0,1.19010923568243,12,NA,3
535,GU,534,449,1,NAT,NA,NA,0,0.443051361016035,12,NA,3
536,GU,535,449,0,NAT,NA,NA,4,0.284220806861645,9,E16_17E,3
537,GU,536,449,0,NAT,NA,NA,5,0.2215,7,E16_17E,3
538,GU,535,449,0,NAT,NA,NA,0,0.299052988458709,7,NA,3
539,GU,538,449,1,NAT,NA,NA,0,0.239,4,NA,3
540,GU,539,449,0,NAT,NA,NA,0,0.505485544075847,6,NA,3
541,GU,540,449,1,NAT,NA,NA,0,0.460249793918745,9,NA,3
542,GU,541,449,0,NAT,NA,NA,0,0.413685748789882,7,NA,3
543,GU,542,449,1,NAT,NA,NA,0,0.365005236419255,9,NA,3
544,GU,543,449,0,NAT,NA,NA,5,0.312918177265056,5,E16_17F,3
545,GU,544,449,1,NAT,NA,NA,9,0.255,7,E16_17F,3
546,GU,534,449,0,NAT,NA,NA,0,1.19107207025931,8,NA,3
547,GU,546,449,1,NAT,NA,NA,0,1.13811699744388,8,NA,3
548,GU,547,449,1,NAT,NA,NA,0,1.08646902314743,5,NA,3
549,GU,548,449,1,NAT,NA,NA,0,1.0360444507301,7,NA,3
550,GU,549,449,1,NAT,NA,NA,0,1.0475,9,NA,3
551,GU,550,449,0,NAT,NA,NA,0,0.541083419690387,12,NA,3
552,GU,551,449,1,NAT,NA,NA,0,0.496521982506227,7,NA,3
553,GU,552,449,0,NAT,NA,NA,1,0.329496454637069,6,E16_17A,3
554,GU,553,449,0,2020-09-12,1,1,1,0.199,5,E16_17A,3
555,GU,553,449,0,NAT,NA,NA,4,0.1635,5,E16_17A,3
556,GU,552,449,0,NAT,NA,NA,5,0.348047584998658,6,E16_17A,3
557,GU,556,449,0,NAT,NA,NA,6,0.199,6,E16_17A,3
558,GU,556,449,0,NAT,NA,NA,7,0.204,7,E16_17A,3
559,GU,550,449,0,NAT,NA,NA,0,0.627371388111258,16,NA,3
560,GU,559,449,1,NAT,NA,NA,0,0.652194144634019,6,NA,3
561,GU,560,449,0,NAT,NA,NA,0,0.393037704392334,14,NA,3
562,GU,561,449,0,NAT,NA,NA,4,0.142,4,E16_17C,3
563,GU,561,449,0,NAT,NA,NA,3,0.211,5,E16_17C,3
564,GU,561,449,0,NAT,NA,NA,2,0.162,5,E16_17C,3
565,GU,560,449,0,NAT,NA,NA,1,0.535703927362698,13,E16_17C,3
566,GU,565,449,0,NAT,NA,NA,2,0.262550504213732,3,E16_17C,3
567,GU,566,449,1,NAT,NA,NA,4,0.195,6,E16_17C,3
568,GU,565,449,0,NAT,NA,NA,3,0.229324030494156,5,E16_17C,3
569,GU,568,449,1,NAT,NA,NA,3,0.151,4,E16_17C,3
570,GU,565,449,0,NAT,NA,NA,1,0.436062155358614,4,E16_17C,3
571,GU,570,449,1,NAT,NA,NA,6,0.38851119166907,7,E16_17C,3
572,GU,571,449,0,NAT,NA,NA,5,0.17,6,E16_17C,3
573,GU,571,449,0,NAT,NA,NA,4,0.177,5,E16_17C,3
574,GU,571,449,0,NAT,NA,NA,5,0.1575,5,E16_17C,3
575,GU,559,449,0,NAT,NA,NA,7,0.2075,8,E16_17B,3
576,GU,559,449,0,NAT,NA,NA,2,0.1445,3,E16_17B,3
577,GU,549,449,0,NAT,NA,NA,0,0.334010307214352,11,NA,3
578,GU,577,449,0,NAT,NA,NA,0,0.278811091427304,6,NA,3
579,GU,578,449,0,NAT,NA,NA,4,0.215,5,E16_17D,3
580,GU,532,449,0,NAT,NA,NA,1,0.242431395561888,11,E16_17G,3
581,GU,580,449,0,NAT,NA,NA,2,0.169,3,E16_17G,3
582,GU,531,449,0,NAT,NA,NA,0,0.277983965303909,10,NA,3
583,GU,582,449,0,2020-09-12,1,1,4,0.214,4,E16_17H,3
584,GU,530,449,0,NAT,NA,NA,0,0.854815839358446,14,NA,3
585,GU,584,449,1,NAT,NA,NA,0,0.809,11,E16_15A,3
586,GU,585,449,0,NAT,NA,NA,6,0.1925,6,E16_15A,3
587,GU,585,449,0,2020-09-12,1,1,7,0.2505,9,E16_15A,3
588,GU,465,449,1,NAT,NA,NA,0,1.08039971074054,8,NA,3
589,GU,588,449,1,NAT,NA,NA,0,1.0301152193382,18,NA,3
590,GU,589,449,1,NAT,NA,NA,3,1.01310547805107,22,E16_16C,3
591,GU,590,449,1,NAT,NA,NA,4,1.20172381014153,15,E16_16C,3
592,GU,591,449,1,NAT,NA,NA,6,1.1485,14,E16_16C,3
593,GU,592,449,0,NAT,NA,NA,4,0.27839735353391,9,E16_16J,3
594,GU,593,449,1,NAT,NA,NA,8,0.2145,8,E16_16I,3
595,GU,592,449,0,NAT,NA,NA,4,0.295203809038238,9,E16_16J,3
596,GU,595,449,1,NAT,NA,NA,8,0.2345,9,E16_16H,3
597,GU,592,449,0,NAT,NA,NA,4,0.417472930229116,15,E16_16J,3
598,GU,597,449,1,NAT,NA,NA,11,0.369,18,E16_16H,3
599,GU,592,449,0,NAT,NA,NA,7,0.577861818593442,17,E16_16J,3
600,GU,599,449,1,2020-09-12,1,1,16,0.474,19,E16_16G,3
601,GU,599,449,0,2020-09-12,1,1,7,0.3385,14,E16_16G,3
602,GU,599,449,0,NAT,NA,NA,5,0.225,10,E16_16G,3
603,GU,592,449,0,NAT,NA,NA,6,0.584502685056974,16,E16_16J,3
604,GU,603,449,1,NAT,NA,NA,17,0.501057297531328,20,E16_16E,3
605,GU,604,449,1,2020-09-12,3,3,12,0.4145,13,E16_16E,3
606,GU,604,449,0,NAT,NA,NA,6,0.2515,11,E16_16E,3
607,GU,603,449,0,NAT,NA,NA,6,0.2115,9,E16_16F,3
608,GU,603,449,0,NAT,NA,NA,11,0.327035966294358,17,E16_16F,3
609,GU,608,449,1,NAT,NA,NA,3,0.271,4,E16_16F,3
610,GU,590,449,0,NAT,NA,NA,6,0.178,6,E16_16C,3
611,GU,590,449,0,NAT,NA,NA,6,0.260166122836323,8,E16_16D,3
612,GU,611,449,1,NAT,NA,NA,7,0.192,8,E16_16D,3
613,GU,589,449,0,NAT,NA,NA,0,0.36996681032557,10,E16_16B,3
614,GU,613,449,0,NAT,NA,NA,5,0.1625,9,E16_16B,3
615,GU,613,449,0,NAT,NA,NA,9,0.271011409130104,10,E16_16B,3
616,GU,615,449,1,NAT,NA,NA,8,0.2055,7,E16_16B,3
617,GU,589,449,0,NAT,NA,NA,3,0.4601227555811,17,E16_16A,3
618,GU,617,449,0,NAT,NA,NA,4,0.252719406729845,4,E16_16B,3
619,GU,618,449,1,NAT,NA,NA,4,0.1825,5,E16_16B,3
620,GU,617,449,0,NAT,NA,NA,4,0.274689636504337,10,E16_16B,3
621,GU,620,449,1,NAT,NA,NA,5,0.21,6,E16_16B,3
622,GU,617,449,0,NAT,NA,NA,7,0.216700648678966,13,E16_16B,3
623,GU,622,449,0,NAT,NA,NA,2,0.1325,4,E16_16B,3
624,GU,589,449,0,NAT,NA,NA,2,0.304275503258588,7,E16_16A,3
625,GU,624,449,1,NAT,NA,NA,7,0.245063472141167,10,E16_16A,3
626,GU,625,449,1,NAT,NA,NA,5,0.1725,5,E16_16A,3
627,GU,589,449,0,NAT,NA,NA,0,0.365864286336064,12,NA,3
628,GU,627,449,0,NAT,NA,NA,4,0.1595,5,E16_16A,3
629,GU,627,449,0,NAT,NA,NA,5,0.266155090544376,8,E16_16A,3
630,GU,629,449,1,NAT,NA,NA,6,0.1995,7,E16_16A,3
631,scaffold,0,631,0,NAT,NA,NA,0,2.86,29,NA,3
632,scaffold_empty,361,631,1,NAT,NA,NA,0,2.54,101,NA,3
633,scaffold,0,633,0,NAT,NA,NA,0,9.07,40,NA,3
634,scaffold,633,633,0,NAT,NA,NA,0,5.09,48,NA,3
635,branch_empty,634,633,0,NAT,NA,NA,0,4.72,41,NA,3
636,branch_empty,634,633,0,NAT,NA,NA,0,5,108,NA,3
637,scaffold,633,633,1,NAT,NA,NA,0,7,43,NA,3
638,branch_empty,637,633,0,NAT,NA,NA,0,5.41,50,NA,3
639,branch_empty,637,633,0,NAT,NA,NA,0,5.25,85,NA,3
640,scaffold_empty,633,633,0,NAT,NA,NA,0,7.87259724144615,80,NA,3
