id,parent_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,light_interception__sunlit_fraction_col,environment_id
0,NA,NA,NaT,NA,NA,0,1.639,1,3,mean
1,0,1,NaT,NA,NA,0,1.639,4,3,mean
2,1,1,NaT,NA,NA,0,NA,5,3,mean
3,2,0,NaT,NA,NA,0,0.650,14,3,mean
4,3,1,NaT,NA,NA,0,NA,9,3,mean
5,4,1,NaT,NA,NA,5,NA,5,3,F14_29A
6,5,1,NaT,NA,NA,6,NA,4,3,F14_29A
7,4,0,NaT,NA,NA,4,0.230,4,3,F14_29A
8,2,0,NaT,NA,NA,0,0.538,11,3,F14_29B
9,8,1,NaT,NA,NA,0,NA,5,3,F14_29B
10,9,1,NaT,NA,NA,2,NA,4,3,F14_29B
11,10,1,NaT,NA,NA,6,NA,5,3,F14_29B
12,2,0,NaT,NA,NA,0,0.496,13,3,mean
13,12,1,NaT,NA,NA,0,NA,6,3,mean
14,13,1,NaT,NA,NA,12,NA,5,3,F14_29B
15,2,0,NaT,NA,NA,0,0.786,15,3,mean
16,15,1,NaT,NA,NA,0,NA,13,3,mean
17,16,0,NaT,NA,NA,0,0.647,2,3,F14_29C
18,17,1,NaT,NA,NA,8,NA,7,3,F14_29C
19,18,1,NaT,NA,NA,5,NA,4,3,F14_29C
20,19,1,NaT,NA,NA,2,NA,8,3,F14_29C
21,2,0,NaT,NA,NA,0,0.811,14,3,F14_29A
22,21,1,NaT,NA,NA,0,NA,12,3,mean
23,22,0,NaT,NA,NA,2,0.604,7,3,F14_29A
24,23,1,NaT,NA,NA,9,NA,6,3,F14_29A
25,22,0,NaT,NA,NA,0,0.497,7,3,F14_29A
26,25,1,NaT,NA,NA,7,NA,7,3,F14_29A
27,2,0,NaT,NA,NA,0,1.532,20,3,mean
28,27,0,NaT,NA,NA,0,0.530,11,3,F14_29C
29,28,1,NaT,NA,NA,1,NA,9,3,F14_29C
30,29,1,NaT,NA,NA,4,NA,4,3,F14_29C
31,27,0,NaT,NA,NA,7,0.425,9,3,F14_29C
32,27,0,NaT,NA,NA,5,0.259,6,3,F14_29C
33,27,0,NaT,NA,NA,0,1.543,14,3,mean
34,33,0,NaT,NA,NA,0,0.589,9,3,mean
35,34,0,NaT,NA,NA,04,0.354,4,3,F14_29C
36,35,1,NaT,NA,NA,0,NA,4,3,mean
37,34,0,NaT,NA,NA,5,0.434,4,3,F14_29C
38,37,1,NaT,NA,NA,4,NA,5,3,F14_29C
39,34,0,NaT,NA,NA,0,.0727,9,3,F14_29A
40,39,1,NaT,NA,NA,0,NA,4,3,mean
41,40,1,NaT,NA,NA,0,NA,8,3,mean
42,41,1,NaT,NA,NA,5,NA,7,3,F14_29A
43,42,1,2002-09-11,1,1,10,NA,8,3,F14_29A


