id,parent_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,light_interception__sunlit_fraction_col,environment_id
0,NA,NA,NaT,NA,NA,0,0.907,1,3,mean
1,0,1,NaT,NA,NA,0,0.907,3,3,F14_15
2,1,1,NaT,NA,NA,0,NA,4,3,F14_15
3,2,1,NaT,NA,NA,3,NA,11,3,F14_15
4,3,0,2002-09-11,1,1,10,.0572,10,3,F14_15
5,3,0,NaT,NA,NA,9,0.482,10,3,F14_15
6,3,0,NaT,NA,NA,8,0.416,9,3,F14_15
7,3,0,NaT,NA,NA,9,0.461,9,3,F14_15
