id,parent_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,light_interception__sunlit_fraction_col,environment_id
0,NA,NA,NaT,NA,NA,0,1.558,1,3,mean
1,0,1,NaT,NA,NA,0,1.558,6,3,mean
2,1,0,NaT,NA,NA,0,1.207,14,3,mean
3,2,0,NaT,NA,NA,0,0.703,4,3,mean
4,3,1,NaT,NA,NA,6,NA,10,3,F14_16A
5,4,0,2002-09-11,1,1,4,.0362,6,3,F14_16A
6,4,0,NaT,NA,NA,4,0.345,5,3,F14_16A
7,2,0,NaT,NA,NA,0,.0428,4,3,mean
8,7,1,NaT,NA,NA,2,NA,3,3,F14_16A
9,2,0,NaT,NA,NA,0,0.391,4,3,mean
10,9,1,NaT,NA,NA,3,NA,5,3,F14_16A
11,1,0,NaT,NA,NA,0,1.041,13,3,mean
12,11,0,NaT,NA,NA,0,0.710,4,3,mean
13,12,1,NaT,NA,NA,4,NA,10,3,F14_16B
14,13,1,NaT,NA,NA,7,NA,7,3,F14_16B
15,11,0,NaT,NA,NA,0,0.419,4,3,F14_16B
16,15,1,NaT,NA,NA,5,NA,8,3,F14_16B
17,11,0,NaT,NA,NA,0,0.907,6,3,F14_16B
18,17,1,NaT,NA,NA,6,NA,17,3,F14_16B
19,18,0,NaT,NA,NA,4,0.348,5,3,F14_16B
20,18,0,NaT,NA,NA,3,0.621,6,3,F14_16B
21,20,1,NaT,NA,NA,16,NA,12,3,F14_16B

